planted_k,planted_gamma,metric,trial,value,bid_weights
14,1.0,frac_total,2,0.10714285714285714,False
14,1.0,frac_total,3,0.23809523809523808,False
14,1.0,frac_total,4,0.09523809523809523,False
14,1.0,frac_total,5,0.14285714285714285,False
14,1.0,frac_total,6,0.13095238095238096,False
14,1.0,frac_total,7,0.20238095238095238,False
14,1.0,frac_total,8,0.20238095238095238,False
14,1.0,frac_total,9,0.16666666666666666,False
14,1.0,frac_papers,0,0.14705882352941177,False
14,1.0,frac_papers,1,0.23333333333333334,False
14,1.0,frac_papers,2,0.175,False
14,1.0,frac_papers,3,0.28846153846153844,False
14,1.0,frac_papers,4,0.1794871794871795,False
14,1.0,frac_papers,5,0.20588235294117646,False
14,1.0,frac_papers,6,0.2647058823529412,False
14,1.0,frac_papers,7,0.2708333333333333,False
14,1.0,frac_papers,8,0.3,False
14,1.0,frac_papers,9,0.24324324324324326,False
14,1.0,frac_revs,0,0.2857142857142857,False
14,1.0,frac_revs,1,0.42857142857142855,False
14,1.0,frac_revs,2,0.42857142857142855,False
14,1.0,frac_revs,3,0.5714285714285714,False
14,1.0,frac_revs,4,0.35714285714285715,False
14,1.0,frac_revs,5,0.42857142857142855,False
14,1.0,frac_revs,6,0.5714285714285714,False
14,1.0,frac_revs,7,0.7142857142857143,False
14,1.0,frac_revs,8,0.5,False
14,1.0,frac_revs,9,0.5,False
15,1.0,frac_total,0,0.32222222222222224,False
15,1.0,frac_total,1,0.14444444444444443,False
15,1.0,frac_total,2,0.17777777777777778,False
15,1.0,frac_total,3,0.3,False
15,1.0,frac_total,4,0.18888888888888888,False
15,1.0,frac_total,5,0.14444444444444443,False
15,1.0,frac_total,6,0.2222222222222222,False
15,1.0,frac_total,7,0.2111111111111111,False
15,1.0,frac_total,8,0.13333333333333333,False
15,1.0,frac_total,9,0.17777777777777778,False
15,1.0,frac_papers,0,0.42592592592592593,False
15,1.0,frac_papers,1,0.38235294117647056,False
15,1.0,frac_papers,2,0.25,False
15,1.0,frac_papers,3,0.44680851063829785,False
15,1.0,frac_papers,4,0.2826086956521739,False
15,1.0,frac_papers,5,0.2631578947368421,False
15,1.0,frac_papers,6,0.39473684210526316,False
15,1.0,frac_papers,7,0.40540540540540543,False
15,1.0,frac_papers,8,0.22580645161290322,False
15,1.0,frac_papers,9,0.3333333333333333,False
15,1.0,frac_revs,0,0.7333333333333333,False
15,1.0,frac_revs,1,0.6666666666666666,False
15,1.0,frac_revs,2,0.5333333333333333,False
15,1.0,frac_revs,3,0.8,False
15,1.0,frac_revs,4,0.6,False
15,1.0,frac_revs,5,0.4666666666666667,False
15,1.0,frac_revs,6,0.5333333333333333,False
15,1.0,frac_revs,7,0.6666666666666666,False
15,1.0,frac_revs,8,0.4,False
15,1.0,frac_revs,9,0.5333333333333333,False
16,1.0,frac_total,0,0.15625,False
16,1.0,frac_total,1,0.20833333333333334,False
16,1.0,frac_total,2,0.125,False
16,1.0,frac_total,3,0.14583333333333334,False
16,1.0,frac_total,4,0.07291666666666667,False
16,1.0,frac_total,5,0.20833333333333334,False
16,1.0,frac_total,6,0.21875,False
16,1.0,frac_total,7,0.21875,False
16,1.0,frac_total,8,0.1875,False
16,1.0,frac_total,9,0.20833333333333334,False
16,1.0,frac_papers,0,0.325,False
16,1.0,frac_papers,1,0.3617021276595745,False
16,1.0,frac_papers,2,0.2682926829268293,False
16,1.0,frac_papers,3,0.2727272727272727,False
16,1.0,frac_papers,4,0.17142857142857143,False
16,1.0,frac_papers,5,0.27450980392156865,False
16,1.0,frac_papers,6,0.3333333333333333,False
16,1.0,frac_papers,7,0.36363636363636365,False
16,1.0,frac_papers,8,0.3333333333333333,False
16,1.0,frac_papers,9,0.45,False
16,1.0,frac_revs,0,0.625,False
16,1.0,frac_revs,1,0.75,False
16,1.0,frac_revs,2,0.4375,False
16,1.0,frac_revs,3,0.625,False
16,1.0,frac_revs,4,0.25,False
16,1.0,frac_revs,5,0.6875,False
16,1.0,frac_revs,6,0.625,False
16,1.0,frac_revs,7,0.6875,False
16,1.0,frac_revs,8,0.625,False
16,1.0,frac_revs,9,0.6875,False
17,1.0,frac_total,0,0.06862745098039216,False
17,1.0,frac_total,1,0.2549019607843137,False
17,1.0,frac_total,2,0.17647058823529413,False
17,1.0,frac_total,3,0.23529411764705882,False
17,1.0,frac_total,4,0.17647058823529413,False
17,1.0,frac_total,5,0.21568627450980393,False
17,1.0,frac_total,6,0.22549019607843138,False
17,1.0,frac_total,7,0.049019607843137254,False
17,1.0,frac_total,8,0.21568627450980393,False
17,1.0,frac_total,9,0.22549019607843138,False
17,1.0,frac_papers,0,0.18421052631578946,False
17,1.0,frac_papers,1,0.4358974358974359,False
17,1.0,frac_papers,2,0.45714285714285713,False
17,1.0,frac_papers,3,0.2857142857142857,False
17,1.0,frac_papers,4,0.3137254901960784,False
17,1.0,frac_papers,5,0.3877551020408163,False
17,1.0,frac_papers,6,0.32,False
17,1.0,frac_papers,7,0.13157894736842105,False
17,1.0,frac_papers,8,0.4444444444444444,False
17,1.0,frac_papers,9,0.38,False
17,1.0,frac_revs,0,0.29411764705882354,False
17,1.0,frac_revs,1,0.8235294117647058,False
17,1.0,frac_revs,2,0.7058823529411765,False
17,1.0,frac_revs,3,0.7058823529411765,False
17,1.0,frac_revs,4,0.47058823529411764,False
17,1.0,frac_revs,5,0.7647058823529411,False
17,1.0,frac_revs,6,0.5882352941176471,False
17,1.0,frac_revs,7,0.29411764705882354,False
17,1.0,frac_revs,8,0.6470588235294118,False
17,1.0,frac_revs,9,0.7058823529411765,False
18,1.0,frac_total,0,0.18518518518518517,False
18,1.0,frac_total,1,0.07407407407407407,False
18,1.0,frac_total,2,0.2037037037037037,False
18,1.0,frac_total,3,0.23148148148148148,False
18,1.0,frac_total,4,0.25,False
18,1.0,frac_total,5,0.23148148148148148,False
18,1.0,frac_total,6,0.1388888888888889,False
18,1.0,frac_total,7,0.12037037037037036,False
18,1.0,frac_total,8,0.1574074074074074,False
18,1.0,frac_total,9,0.12962962962962962,False
18,1.0,frac_papers,0,0.42857142857142855,False
18,1.0,frac_papers,1,0.1590909090909091,False
18,1.0,frac_papers,2,0.35294117647058826,False
18,1.0,frac_papers,3,0.45,False
18,1.0,frac_papers,4,0.3584905660377358,False
18,1.0,frac_papers,5,0.47619047619047616,False
18,1.0,frac_papers,6,0.2608695652173913,False
18,1.0,frac_papers,7,0.3076923076923077,False
18,1.0,frac_papers,8,0.3488372093023256,False
18,1.0,frac_papers,9,0.20408163265306123,False
18,1.0,frac_revs,0,0.6111111111111112,False
18,1.0,frac_revs,1,0.3333333333333333,False
18,1.0,frac_revs,2,0.6111111111111112,False
18,1.0,frac_revs,3,0.6666666666666666,False
18,1.0,frac_revs,4,0.5555555555555556,False
18,1.0,frac_revs,5,0.6666666666666666,False
18,1.0,frac_revs,6,0.5555555555555556,False
18,1.0,frac_revs,7,0.3888888888888889,False
18,1.0,frac_revs,8,0.5555555555555556,False
18,1.0,frac_revs,9,0.3888888888888889,False
19,1.0,frac_total,0,0.21052631578947367,False
19,1.0,frac_total,1,0.18421052631578946,False
19,1.0,frac_total,2,0.23684210526315788,False
19,1.0,frac_total,3,0.16666666666666666,False
19,1.0,frac_total,4,0.21052631578947367,False
19,1.0,frac_total,5,0.13157894736842105,False
19,1.0,frac_total,6,0.2982456140350877,False
19,1.0,frac_total,7,0.18421052631578946,False
19,1.0,frac_total,8,0.23684210526315788,False
19,1.0,frac_total,9,0.2543859649122807,False
19,1.0,frac_papers,0,0.4358974358974359,False
19,1.0,frac_papers,1,0.3877551020408163,False
19,1.0,frac_papers,2,0.42,False
19,1.0,frac_papers,3,0.3235294117647059,False
19,1.0,frac_papers,4,0.30357142857142855,False
19,1.0,frac_papers,5,0.28205128205128205,False
19,1.0,frac_papers,6,0.47058823529411764,False
19,1.0,frac_papers,7,0.27450980392156865,False
19,1.0,frac_papers,8,0.4772727272727273,False
19,1.0,frac_papers,9,0.3,False
19,1.0,frac_revs,0,0.631578947368421,False
19,1.0,frac_revs,1,0.6842105263157895,False
19,1.0,frac_revs,2,0.5789473684210527,False
19,1.0,frac_revs,3,0.3684210526315789,False
19,1.0,frac_revs,4,0.5789473684210527,False
19,1.0,frac_revs,5,0.47368421052631576,False
19,1.0,frac_revs,6,0.7894736842105263,False
19,1.0,frac_revs,7,0.5263157894736842,False
19,1.0,frac_revs,8,0.7368421052631579,False
19,1.0,frac_revs,9,0.5789473684210527,False
20,1.0,frac_total,0,0.175,False
20,1.0,frac_total,1,0.18333333333333332,False
20,1.0,frac_total,2,0.20833333333333334,False
20,1.0,frac_total,3,0.20833333333333334,False
20,1.0,frac_total,4,0.11666666666666667,False
20,1.0,frac_total,5,0.16666666666666666,False
20,1.0,frac_total,6,0.26666666666666666,False
