,method,graph_type,planted_k,planted_gamma,bipartite,trial,num_true_positive,num_detected,num_total,time,method_params,detected_density,actual_density
7,densest_subgraph,,12,1.0,False,7,12,596,596,0.0698755661646525,,0.056996221307314875,1.0
8,densest_subgraph,,12,1.0,False,8,12,596,596,0.0703985333442688,,0.05701878066662907,1.0
9,densest_subgraph,,12,1.0,False,9,12,596,596,0.07233126958211263,,0.05701032090688624,1.0
0,densest_subgraph,,13,1.0,False,0,13,596,596,0.07212619781494141,,0.05707517906491456,1.0
1,densest_subgraph,,13,1.0,False,1,13,596,596,0.07067294915517171,,0.057080818904743105,1.0
2,densest_subgraph,,13,1.0,False,2,13,596,596,0.07424977223078409,,0.05707799898482883,1.0
3,densest_subgraph,,13,1.0,False,3,13,596,596,0.06998933553695678,,0.05704697986577181,1.0
4,densest_subgraph,,13,1.0,False,4,13,596,596,0.06996519565582275,,0.05705825954542891,1.0
5,densest_subgraph,,13,1.0,False,5,13,596,596,0.0764108141263326,,0.05708927866448593,1.0
6,densest_subgraph,,13,1.0,False,6,13,596,596,0.07212505340576172,,0.057086458744571654,1.0
7,densest_subgraph,,13,1.0,False,7,13,596,596,0.0710814634958903,,0.057086458744571654,1.0
8,densest_subgraph,,13,1.0,False,8,13,596,596,0.07446579933166504,,0.05706389938525746,1.0
9,densest_subgraph,,13,1.0,False,9,13,596,596,0.07583528359731039,,0.05708363882465738,1.0
0,densest_subgraph,,14,1.0,False,0,14,596,596,0.08710229794184367,,0.05712875754328577,1.0
1,densest_subgraph,,14,1.0,False,1,14,596,596,0.0746108333269755,,0.05714285714285714,1.0
2,densest_subgraph,,14,1.0,False,2,14,596,596,0.07697970072428385,,0.05715977666234279,1.0
3,densest_subgraph,,14,1.0,False,3,14,596,596,0.08714414834976196,,0.05714285714285714,1.0
4,densest_subgraph,,14,1.0,False,4,14,596,596,0.07764424880345662,,0.05715131690259997,1.0
5,densest_subgraph,,14,1.0,False,5,14,596,596,0.07381003697713216,,0.05714567706277142,1.0
6,densest_subgraph,,14,1.0,False,6,14,596,596,0.07293121814727783,,0.05714849698268569,1.0
7,densest_subgraph,,14,1.0,False,7,14,596,596,0.07161051829655965,,0.05714285714285714,1.0
8,densest_subgraph,,14,1.0,False,8,14,596,596,0.07445913553237915,,0.057120297783542946,1.0
9,densest_subgraph,,14,1.0,False,9,14,596,596,0.076551087697347,,0.057131577463200044,1.0
0,densest_subgraph,,15,1.0,False,0,15,596,596,0.0716538667678833,,0.0572359145000282,1.0
1,densest_subgraph,,15,1.0,False,1,15,596,596,0.07271708250045776,,0.057213355140714,1.0
2,densest_subgraph,,15,1.0,False,2,15,596,596,0.07190699974695841,,0.05717669618182843,1.0
3,densest_subgraph,,15,1.0,False,3,15,596,596,0.07014269828796386,,0.0572246348203711,1.0
4,densest_subgraph,,15,1.0,False,4,15,596,596,0.07180170218149821,,0.0572359145000282,1.0
5,densest_subgraph,,15,1.0,False,5,15,596,596,0.07113364934921265,,0.0572246348203711,1.0
6,densest_subgraph,,15,1.0,False,6,15,596,596,0.07501681248346964,,0.05719361570131408,1.0
7,densest_subgraph,,15,1.0,False,7,15,596,596,0.07157603104909262,,0.057207715300885455,1.0
8,densest_subgraph,,15,1.0,False,8,15,596,596,0.07162438233693441,,0.05719361570131408,1.0
9,densest_subgraph,,15,1.0,False,9,15,596,596,0.07100516557693481,,0.05718515594157126,1.0
0,densest_subgraph,,16,1.0,False,0,16,596,596,0.07223528623580933,,0.05730923241779933,1.0
1,densest_subgraph,,16,1.0,False,1,16,596,596,0.07279216845830282,,0.05730359257797078,1.0
2,densest_subgraph,,16,1.0,False,2,16,596,596,0.07238769928614298,,0.057292312898313685,1.0
3,densest_subgraph,,16,1.0,False,3,16,596,596,0.07404073079427083,,0.05727257345891377,1.0
4,densest_subgraph,,16,1.0,False,4,16,596,596,0.07423375050226848,,0.05726129377925667,1.0
5,densest_subgraph,,16,1.0,False,5,16,596,596,0.07154246568679809,,0.057292312898313685,1.0
6,densest_subgraph,,16,1.0,False,6,16,596,596,0.07165016333262125,,0.057292312898313685,1.0
