,method,graph_type,planted_k,planted_gamma,bipartite,trial,num_true_positive,num_detected,num_total,time,method_params,detected_density,actual_density
7,fraudar,B,9,1.0,True,7,4,103,596,0.0005562980969746907,,0.13074418956771897,1.0
8,fraudar,B,9,1.0,True,8,4,106,596,0.0005600849787394205,,0.12776627057669246,1.0
9,fraudar,B,9,1.0,True,9,9,114,596,0.000915984312693278,,0.1278720039688692,1.0
0,fraudar,B,10,1.0,True,0,5,104,596,0.000655221939086914,,0.1283595405375265,1.0
1,fraudar,B,10,1.0,True,1,10,113,596,0.0005938887596130371,,0.12808887554421258,1.0
2,fraudar,B,10,1.0,True,2,3,103,596,0.0005562464396158854,,0.12722513089005236,1.0
3,fraudar,B,10,1.0,True,3,4,105,596,0.000560303529103597,,0.12791041466479414,1.0
4,fraudar,B,10,1.0,True,4,3,102,596,0.0006248672803243001,,0.13010823094403573,1.0
5,fraudar,B,10,1.0,True,5,2,101,596,0.0005563696225484213,,0.130078125,1.0
6,fraudar,B,10,1.0,True,6,1,102,596,0.0005590995152791341,,0.1293690071141355,1.0
7,fraudar,B,10,1.0,True,7,6,107,596,0.0005954821904500325,,0.12846320731230215,1.0
8,fraudar,B,10,1.0,True,8,2,101,596,0.0005599498748779297,,0.12881263616557734,1.0
9,fraudar,B,10,1.0,True,9,3,104,596,0.0005692323048909505,,0.12794472968891574,1.0
0,fraudar,B,11,1.0,True,0,2,102,596,0.0005795995394388835,,0.1294849984534488,1.0
1,fraudar,B,11,1.0,True,1,2,104,596,0.000647878646850586,,0.12864686715853338,1.0
2,fraudar,B,11,1.0,True,2,3,102,596,0.0005586822827657064,,0.13037088602699462,1.0
3,fraudar,B,11,1.0,True,3,4,105,596,0.0005617340405782064,,0.12888077224106445,1.0
4,fraudar,B,11,1.0,True,4,4,102,596,0.0005966663360595703,,0.13122486854314877,1.0
5,fraudar,B,11,1.0,True,5,2,103,596,0.0005533496538798014,,0.1286745157614888,1.0
6,fraudar,B,11,1.0,True,6,3,102,596,0.0005629976590474446,,0.13149551500154655,1.0
7,fraudar,B,11,1.0,True,7,1,101,596,0.0005634665489196777,,0.12997961104140526,1.0
8,fraudar,B,11,1.0,True,8,11,113,596,0.0005578676859537761,,0.1269517557835702,1.0
9,fraudar,B,11,1.0,True,9,2,102,596,0.0005591471989949544,,0.1295296838858905,1.0
0,fraudar,B,12,1.0,True,0,5,102,596,0.0007376829783121745,,0.13117161902609875,1.0
1,fraudar,B,12,1.0,True,1,0,101,596,0.000584113597869873,,0.12986707446182802,1.0
2,fraudar,B,12,1.0,True,2,12,113,596,0.0005614956219991049,,0.13315871227119058,1.0
3,fraudar,B,12,1.0,True,3,4,104,596,0.0005582610766092937,,0.12573507791825933,1.0
4,fraudar,B,12,1.0,True,4,4,99,596,0.0008958180745442709,,0.1357269759947114,1.0
5,fraudar,B,12,1.0,True,5,12,114,596,0.0005556821823120117,,0.12612142067100898,1.0
6,fraudar,B,12,1.0,True,6,12,113,596,0.0006505171457926432,,0.1273644778799418,1.0
7,fraudar,B,12,1.0,True,7,0,97,596,0.0005597869555155436,,0.1339964142405874,1.0
8,fraudar,B,12,1.0,True,8,4,103,596,0.0006013353665669759,,0.13084432918923042,1.0
9,fraudar,B,12,1.0,True,9,12,117,596,0.0006135026613871257,,0.1280298678920161,1.0
0,fraudar,B,13,1.0,True,0,13,115,596,0.0006773988405863444,,0.13126969634494742,1.0
1,fraudar,B,13,1.0,True,1,13,362,596,0.000682516892751058,,0.05412307468759082,1.0
2,fraudar,B,13,1.0,True,2,13,115,596,0.0005626320838928222,,0.13438819856766848,1.0
3,fraudar,B,13,1.0,True,3,13,115,596,0.0005621155103047689,,0.13103989946591266,1.0
4,fraudar,B,13,1.0,True,4,13,115,596,0.0005572001139322917,,0.13008883492043202,1.0
5,fraudar,B,13,1.0,True,5,13,114,596,0.0006214300791422526,,0.12613521695257315,1.0
6,fraudar,B,13,1.0,True,6,13,367,596,0.0005798021952311198,,0.05238932069265472,1.0
7,fraudar,B,13,1.0,True,7,13,117,596,0.0006092627843221029,,0.12978628007771634,1.0
8,fraudar,B,13,1.0,True,8,13,369,596,0.0005617141723632812,,0.052797177041716506,1.0
9,fraudar,B,13,1.0,True,9,13,111,596,0.0005703131357828776,,0.1363055289229786,1.0
0,fraudar,B,14,1.0,True,0,14,118,596,0.0005770683288574219,,0.1289472107376116,1.0
1,fraudar,B,14,1.0,True,1,14,116,596,0.0005640665690104167,,0.1320719889247808,1.0
2,fraudar,B,14,1.0,True,2,14,116,596,0.0005598187446594239,,0.13321518683167127,1.0
3,fraudar,B,14,1.0,True,3,14,116,596,0.0006496508916219076,,0.1431598062953995,1.0
4,fraudar,B,14,1.0,True,4,14,120,596,0.0006133159001668294,,0.1271425719419331,1.0
5,fraudar,B,14,1.0,True,5,14,116,596,0.0005679011344909668,,0.13666168532129677,1.0
6,fraudar,B,14,1.0,True,6,14,114,596,0.0005657633145650227,,0.1345196385764337,1.0
7,fraudar,B,14,1.0,True,7,14,115,596,0.0005681157112121582,,0.13495977922611707,1.0
8,fraudar,B,14,1.0,True,8,14,114,596,0.0010065833727518718,,0.14030181024679594,1.0
9,fraudar,B,14,1.0,True,9,14,115,596,0.0005597194035847981,,0.1395896197948099,1.0
0,fraudar,B,15,1.0,True,0,15,117,596,0.0006717999776204427,,0.12923445112396365,1.0
1,fraudar,B,15,1.0,True,1,15,113,596,0.000628968079884847,,0.13565468549422335,1.0
2,fraudar,B,15,1.0,True,2,15,117,596,0.0005697329839070638,,0.1327087746516693,1.0
3,fraudar,B,15,1.0,True,3,15,119,596,0.0005835652351379395,,0.12919969533696296,1.0
4,fraudar,B,15,1.0,True,4,15,120,596,0.0005724350611368815,,0.13644171779141104,1.0
5,fraudar,B,15,1.0,True,5,15,115,596,0.0005658149719238281,,0.13330054107230693,1.0
6,fraudar,B,15,1.0,True,6,15,116,596,0.0005629658699035645,,0.12997395131590767,1.0
7,fraudar,B,15,1.0,True,7,15,119,596,0.000572065512339274,,0.13144572639510244,1.0
8,fraudar,B,15,1.0,True,8,15,121,596,0.0008779168128967285,,0.12371252993277747,1.0
9,fraudar,B,15,1.0,True,9,15,119,596,0.000564416249593099,,0.12644047967241884,1.0
0,fraudar,B,16,1.0,True,0,16,108,596,0.0007091681162516276,,0.14632788026453183,1.0
1,fraudar,B,16,1.0,True,1,16,114,596,0.0005686998367309571,,0.13076597545493018,1.0
2,fraudar,B,16,1.0,True,2,16,118,596,0.0005748828252156575,,0.1302316072315196,1.0
3,fraudar,B,16,1.0,True,3,16,117,596,0.0006244659423828125,,0.13486603384713636,1.0
4,fraudar,B,16,1.0,True,4,16,120,596,0.000567018985748291,,0.12366853739548735,1.0
5,fraudar,B,16,1.0,True,5,16,118,596,0.000574334462483724,,0.13216420658979516,1.0
6,fraudar,B,16,1.0,True,6,16,120,596,0.0005657354990641276,,0.12303830984361641,1.0
7,fraudar,B,16,1.0,True,7,16,116,596,0.0005723992983500163,,0.1377825618945102,1.0
8,fraudar,B,16,1.0,True,8,16,115,596,0.000569915771484375,,0.13087196090028952,1.0
9,fraudar,B,16,1.0,True,9,16,117,596,0.0009166518847147624,,0.13544521063567105,1.0
0,fraudar,B,17,1.0,True,0,17,120,596,0.0006748477617899577,,0.13288660690975546,1.0
1,fraudar,B,17,1.0,True,1,17,123,596,0.000636450449625651,,0.13510690925081076,1.0
2,fraudar,B,17,1.0,True,2,17,112,596,0.000569915771484375,,0.14045721061993544,1.0
3,fraudar,B,17,1.0,True,3,17,113,596,0.0005791147549947102,,0.14539776951672861,1.0
4,fraudar,B,17,1.0,True,4,17,117,596,0.0005780816078186035,,0.13439409006961217,1.0
5,fraudar,B,17,1.0,True,5,17,110,596,0.0005747834841410319,,0.15135352722149542,1.0
6,fraudar,B,17,1.0,True,6,17,117,596,0.0006111979484558106,,0.1373448461953589,1.0
7,fraudar,B,17,1.0,True,7,17,117,596,0.0006041526794433594,,0.13873202893684564,1.0
8,fraudar,B,17,1.0,True,8,17,120,596,0.000570980707804362,,0.12657402155416903,1.0
9,fraudar,B,17,1.0,True,9,17,118,596,0.0005791306495666504,,0.12979076332101389,1.0
0,fraudar,B,18,1.0,True,0,18,117,596,0.0006252010663350423,,0.13775112443778112,1.0
1,fraudar,B,18,1.0,True,1,18,120,596,0.0005752325057983398,,0.13341184387617766,1.0
2,fraudar,B,18,1.0,True,2,18,114,596,0.0005829850832621257,,0.1428614566976688,1.0
3,fraudar,B,18,1.0,True,3,18,122,596,0.0005821148554484049,,0.12042878677907431,1.0
4,fraudar,B,18,1.0,True,4,18,121,596,0.0006054838498433431,,0.1346509351892127,1.0
5,fraudar,B,18,1.0,True,5,18,123,596,0.0006100654602050782,,0.12602264275679695,1.0
6,fraudar,B,18,1.0,True,6,18,116,596,0.0005783994992574055,,0.1405758246881921,1.0
7,fraudar,B,18,1.0,True,7,18,115,596,0.0005804816881815593,,0.14068813517815598,1.0
8,fraudar,B,18,1.0,True,8,18,122,596,0.000605316956837972,,0.13527292878913827,1.0
9,fraudar,B,18,1.0,True,9,18,120,596,0.0005795478820800782,,0.13907936232387236,1.0
0,fraudar,B,19,1.0,True,0,19,118,596,0.0006122469902038574,,0.13011717701780018,1.0
1,fraudar,B,19,1.0,True,1,19,116,596,0.0005861679712931315,,0.13663041859079397,1.0
2,fraudar,B,19,1.0,True,2,19,113,596,0.0005826354026794434,,0.14935749588138386,1.0
3,fraudar,B,19,1.0,True,3,19,123,596,0.0005904833475748698,,0.1274212902119879,1.0
4,fraudar,B,19,1.0,True,4,19,120,596,0.0006030639012654623,,0.1463886862337954,1.0
5,fraudar,B,19,1.0,True,5,19,117,596,0.0009180347124735515,,0.13941236678909025,1.0
6,fraudar,B,19,1.0,True,6,19,114,596,0.0005822976430257162,,0.1465755953479786,1.0
7,fraudar,B,19,1.0,True,7,19,114,596,0.0006396174430847168,,0.14424610477242056,1.0
8,fraudar,B,19,1.0,True,8,19,116,596,0.0005845983823140462,,0.13125362739408009,1.0
9,fraudar,B,19,1.0,True,9,19,19,596,0.0005860805511474609,,1.0,1.0
